timestamp,cpu_pct,mem_mb,threads
09:58:35,0,48.3,32
09:58:37,0,48.3,32
09:58:39,0,48.3,32
09:58:41,0,48.3,32
09:58:43,0,48.3,32
09:58:45,0,48.2,32
09:58:47,0,48.2,32
09:58:49,0,48.2,32
09:58:51,0,48.2,32
09:58:53,0,48.2,32
09:58:55,0,48.8,32
09:58:57,0,48.8,32
09:58:59,0,47.9,32
09:59:01,0,47.9,32
09:59:03,0,48.5,32
09:59:05,0,48.5,32
09:59:07,0,48.5,31
09:59:09,0,48.5,31
09:59:11,0,48.5,31
09:59:13,0,48.4,31
09:59:15,0,48.4,31
09:59:17,0,48.4,31
09:59:19,0,48.4,31
09:59:21,0,48.4,31
09:59:23,0,49,31
09:59:25,0,49,31
09:59:27,0,49,31
09:59:29,0,47.9,31
09:59:31,0,47.9,31
09:59:33,0,48.9,31
09:59:35,0,48.9,31
09:59:37,0,48.9,31
09:59:39,0,48.9,31
09:59:41,0,48.9,31
09:59:43,0,48.9,31
09:59:45,0,48.9,31
09:59:47,0,48.9,31
09:59:49,0,48.9,31
09:59:51,0,48.9,31
09:59:53,0,49.6,31
09:59:55,0,50.1,31
09:59:57,0,50.2,31
09:59:59,0,49.2,31
10:00:01,0,49.2,31
10:00:03,0,49.8,31
10:00:05,0,49.8,31
10:00:07,0,49.8,31
10:00:09,0,49.8,31
10:00:12,0,49.8,31
10:00:14,0,49.6,31
10:00:16,0,49.6,31
10:00:18,0,49.6,31
10:00:20,0,49.6,31
10:00:22,0,49.6,31
10:00:24,0,50.3,31
10:00:26,0,50.3,31
10:00:28,0,50.8,30
10:00:30,0,49.7,30
10:00:32,0,49.7,30
10:00:34,0,50.4,30
10:00:36,0,50.4,30
10:00:38,0,50.4,30
10:00:40,0,50.4,30
10:00:42,0,50.4,30
10:00:44,0,50.2,30
10:00:46,0,50.2,30
10:00:48,0,50.2,30
10:00:50,0,50.2,30
10:00:52,0,50.2,30
10:00:54,0,50.8,30
10:00:56,0,50.8,30
10:00:58,0,49.9,30
10:01:00,0,49.9,30
10:01:02,0,49.9,30
10:01:04,0,50.6,30
10:01:06,0,50.6,30
10:01:08,0,50.6,30
10:01:10,0,50.6,30
10:01:12,0,50.6,30
10:01:14,0,50.4,30
10:01:16,0,50.4,30
10:01:18,0,50.4,30
10:01:20,0,50.4,30
10:01:22,0,50.4,30
10:01:24,0,51,30
10:01:26,0,51,30
10:01:28,0,50,30
10:01:30,0,50,30
10:01:32,0,50,30
10:01:34,0,50.6,30
10:01:36,0,50.6,31
10:01:38,0,50.6,31
10:01:40,0,50.6,31
10:01:42,0,50.6,31
10:01:44,0,50.5,31
10:01:46,0,50.5,31
10:01:48,0,50.5,31
10:01:50,0,50.5,31
10:01:52,0,50.5,31
10:01:54,0,51.1,31
10:01:56,0,51.1,31
10:01:58,0,50,31
10:02:00,0,50,31
10:02:02,0,50,31
10:02:04,0,50.6,31
10:02:06,0,50.6,31
10:02:08,0,50.6,31
10:02:10,0,50.6,31
10:02:12,0,50.6,31
10:02:15,0,50.5,31
10:02:17,0,50.5,31
10:02:19,0,50.5,31
10:02:21,0,50.5,31
10:02:23,0,50.5,31
10:02:25,0,51.1,31
10:02:27,0,51.1,31
10:02:29,0,50,31
10:02:31,0,50,31
10:02:33,0,50,31
10:02:35,0,50.7,31
10:02:37,0,50.7,31
10:02:39,0,50.7,31
10:02:41,0,50.7,31
10:02:43,0,50.7,31
10:02:45,0,50.5,32
10:02:47,0,50.5,32
10:02:49,0,50.5,32
10:02:51,0,50.5,32
10:02:53,0,50.5,32
10:02:55,0,51.1,32
10:02:57,0,51.1,32
10:02:59,0,50.1,32
10:03:01,0,50.1,32
10:03:03,0,50.1,32
10:03:05,0,50.7,32
10:03:07,0,50.7,32
10:03:09,0,50.7,32
10:03:11,0,50.7,32
10:03:13,0,50.7,32
10:03:15,0,50.5,32
10:03:17,0,50.5,32
10:03:19,0,50.5,32
10:03:21,0,50.5,32
10:03:23,0,50.5,32
10:03:25,0,51.3,32
10:03:27,0,51.3,32
10:03:29,0,50.3,32
10:03:31,0,50.3,32
10:03:33,0,50.3,32
10:03:35,0,50.8,31
10:03:37,0,50.8,31
10:03:39,0,50.8,31
10:03:41,0,50.8,31
10:03:43,0,50.8,31
10:03:45,0,52.5,31
10:03:47,0,52.5,31
10:03:49,0,52.5,31
10:03:51,0,52.5,31
10:03:53,0,53.2,31
10:03:55,0,53.2,31
10:03:57,0,53.2,31
10:03:59,0,52.1,31
10:04:01,0,52.1,31
10:04:03,0,52.7,31
10:04:05,0,52.7,31
10:04:07,0,52.7,31
10:04:09,0,52.7,31
10:04:11,0,52.7,31
10:04:13,0,52.6,31
10:04:15,0,52.6,31
10:04:17,0,52.6,31
10:04:19,0,52.6,31
10:04:21,0,52.6,31
10:04:23,0,53.2,31
10:04:25,0,53.2,31
10:04:28,0,53.2,31
10:04:30,0,52.2,31
10:04:32,0,52.2,31
10:04:34,0,52.8,31
10:04:36,0,52.8,31
10:04:38,0,52.8,31
10:04:40,0,52.8,31
10:04:42,0,52.8,31
